Date;Open;High;Low;Close;Adj Close;Volume;Average
02-01-1990;17.240.000;17.240.000;17.240.000;17.240.000;17.240.000;0;17240000
03-01-1990;18.190.001;18.190.001;18.190.001;18.190.001;18.190.001;0;18190001
04-01-1990;19.219.999;19.219.999;19.219.999;19.219.999;19.219.999;0;19219999
05-01-1990;20.110.001;20.110.001;20.110.001;20.110.001;20.110.001;0;20110001
08-01-1990;20.260.000;20.260.000;20.260.000;20.260.000;20.260.000;0;20260000
09-01-1990;22.200.001;22.200.001;22.200.001;22.200.001;22.200.001;0;22200001
10-01-1990;22.440.001;22.440.001;22.440.001;22.440.001;22.440.001;0;22440001
11-01-1990;20.049.999;20.049.999;20.049.999;20.049.999;20.049.999;0;20049999
12-01-1990;24.639.999;24.639.999;24.639.999;24.639.999;24.639.999;0;24639999
15-01-1990;26.340.000;26.340.000;26.340.000;26.340.000;26.340.000;0;26340000
16-01-1990;24.180.000;24.180.000;24.180.000;24.180.000;24.180.000;0;24180000
17-01-1990;24.160.000;24.160.000;24.160.000;24.160.000;24.160.000;0;24160000
18-01-1990;24.340.000;24.340.000;24.340.000;24.340.000;24.340.000;0;24340000
19-01-1990;22.500.000;22.500.000;22.500.000;22.500.000;22.500.000;0;22500000
22-01-1990;26.700.001;26.700.001;26.700.001;26.700.001;26.700.001;0;26700001
23-01-1990;24.719.999;24.719.999;24.719.999;24.719.999;24.719.999;0;24719999
24-01-1990;25.389.999;25.389.999;25.389.999;25.389.999;25.389.999;0;25389999
25-01-1990;25.629.999;25.629.999;25.629.999;25.629.999;25.629.999;0;25629999
26-01-1990;26.280.001;26.280.001;26.280.001;26.280.001;26.280.001;0;26280001
29-01-1990;26.440.001;26.440.001;26.440.001;26.440.001;26.440.001;0;26440001
30-01-1990;27.250.000;27.250.000;27.250.000;27.250.000;27.250.000;0;27250000
31-01-1990;25.360.001;25.360.001;25.360.001;25.360.001;25.360.001;0;25360001
01-02-1990;24.870.001;24.870.001;24.870.001;24.870.001;24.870.001;0;24870001
02-02-1990;24.320.000;24.320.000;24.320.000;24.320.000;24.320.000;0;24320000
05-02-1990;24.540.001;24.540.001;24.540.001;24.540.001;24.540.001;0;24540001
06-02-1990;24.690.001;24.690.001;24.690.001;24.690.001;24.690.001;0;24690001
07-02-1990;24.290.001;24.290.001;24.290.001;24.290.001;24.290.001;0;24290001
08-02-1990;23.770.000;23.770.000;23.770.000;23.770.000;23.770.000;0;23770000
09-02-1990;23.690.001;23.690.001;23.690.001;23.690.001;23.690.001;0;23690001
12-02-1990;24.379.999;24.379.999;24.379.999;24.379.999;24.379.999;0;24379999
13-02-1990;23.760.000;23.760.000;23.760.000;23.760.000;23.760.000;0;23760000
14-02-1990;22.049.999;22.049.999;22.049.999;22.049.999;22.049.999;0;22049999
15-02-1990;19.709.999;19.709.999;19.709.999;19.709.999;19.709.999;0;19709999
